"gene","nodescore"
"ELP1",0.704538045855719
"NUCB2",1
"PFN2",0.951517409701049
"PTPN3",0.345539512751357
"SPTB",1
"DAPP1",0.885160172928564
"FGF10",0.248637691521027
"SLC44A1",0.837609287712333
"TMEM260",0.175575713960975
"SMG6",0.875572843003542
"EXOC5",0.242802514048486
"CLTCL1",0.937591472750802
"FGF22",0.704155774902671
"FSTL3",0.449316366836363
"DGCR2",0.556263798197601
"RNF126",1
"MNT",0.598763507953689
"ZXDC",0.462787560789903
"JMJD6",0.677421581409942
"POLB",1
"ST6GALNAC1",0.661280439105277
"WIPI1",0.806901369507678
"FRMPD1",0.943636045698299
"GBA2",0.478943661162308
"NDST1",1
"ASNS",1
"AP3M2",0.973704817946904
"CNGB1",0.427877553926292
"ST6GALNAC2",0.802740293485062
"PABPC1",0.894394238674443
"TESK2",0.426359866074894
"CFAP20",0.348746901516047
"CSNK2A2",0.820617678025743
"AL162171.1",1
"EIF2B3",0.647592955223959
