gene,logFC,logCPM,PValue,FDR
RNU6-1011P,0.2143824113,-3.3152993187,0.0831409884,0.0999754273
RNU6-813P,3.4678554009,-0.9168671337,5.21062835581482E-18,1.87820631187026E-17
RF00019,0.6862201195,0.0611706875,0.00000112,0.000002059
SNORD15B,5.4014161115,1.2112246683,4.31684471072391E-26,2.3072468304255E-25
SNORA66,-0.0975023828,-2.1940344324,0.3785700078,0.4144650708
MIR25,0.9792479631,-1.6624853867,8.95778444858385E-14,2.57620528277632E-13
MIR647,0.4329541119,-0.9069494814,0.000146695,0.0002307843
MIR635,0.3608381305,-0.0182797166,0.000136985,0.0002160216
MIR200A,0.2157332468,-3.116128474,0.242880442,0.2744321531
MIR149,2.51044274,-3.7720630875,3.92739357753536E-12,1.02769448675318E-11
MIR570,-0.0214164784,-0.883428704,0.8452994526,0.862228946
MIR621,0.8608426046,0.8365458458,5.65235151393022E-25,2.87015963705854E-24
MIR573,-0.8701416522,-2.3441326661,1.39386956848234E-17,4.91402380597684E-17
MIR186,-0.9559859633,-1.7124091759,4.43374310328784E-15,1.36973244886596E-14
MIR200B,0.5440734466,-3.6110263421,0.0126040283,0.0166172391
MIR590,-0.6823616043,-2.4929646879,3.46373774404334E-09,7.53539227438696E-09
MIR10B,-1.599022716,-3.6097931229,1.26670836110276E-26,6.92713642296346E-26
MIR27A,-2.351169429,-3.5751176473,2.87341659497017E-52,4.09243268032844E-51
MIR27B,-1.8684250569,-3.2388729673,1.0195671932018E-24,5.11592810104549E-24
MIR221,-2.0323685699,-3.644736089,1.67169512878006E-38,1.50015986664011E-37
MIR559,0.741045402,-3.2290221315,4.11885257758213E-08,8.34032314419248E-08
MIR23A,-2.3195355128,-3.0738245577,2.23136471816358E-63,4.29593096732401E-62
MIR616,-0.8189781681,-3.3826589234,4.04801019452019E-12,1.05813466288344E-11
SNORD94,1.9252203329,-0.3025752529,1.22084720171983E-14,3.68152834235575E-14
MT-TL1,-0.1425118305,-1.7021083854,0.3385186756,0.3739187813
SNORD83A,-0.0067518209,-2.9888625712,1,1
MT-TF,-1.8864708573,-1.7735226198,5.29908445232122E-31,3.55709561183758E-30
MT-RNR2,-0.1988802118,12.9278497766,0.0560694041,0.0688839629
MT-TM,1.5357689301,-3.2245625509,9.87032816487523E-08,0.000000195
